month,wet_rows,p_cold235_given_rain,p_tbmin_lt220_given_rain,tbmin_median_wet,p_cold235_given_dry
202407,32478,0.8536855717716608,0.6090276494858058,215.50416564941406,0.6270287843549154
202408,31583,0.8668270905233828,0.6890099103948326,210.44163513183594,0.6072693505575689
202409,33795,0.8586181387779257,0.657819204024264,212.66622924804688,0.5777455945608436
202410,19509,0.7829207032651597,0.5995694294940797,214.30845642089844,0.29368018339198504
202505,33473,0.8612613150897739,0.711588444417889,208.01121520996094,0.5792869723453451
202506,26939,0.8266453840157393,0.6026949775418539,215.10888671875,0.5548834391984808
202507,31030,0.8503383822107637,0.6287463744763132,214.30845642089844,0.5281245398471883
202508,30829,0.8745985922345844,0.6994064030620519,210.703857421875,0.5600883094699015
202509,38382,0.879657130946798,0.707128341410036,209.556640625,0.6062765556930028
202510,21815,0.843868897547559,0.6888379555351822,210.17840576171875,0.3764738161835878
202605,26872,0.7608291158082763,0.5978713902947306,213.74009704589844,0.522745253164557
202606,22491,0.7101062647281134,0.510426392779334,219.29161071777344,0.43755102040816324
202607,15650,0.6989776357827476,0.43578274760383384,223.42501831054688,0.45694220294532983
